margin,profit04
0.05,46953.2457894737
0.06,57855.8604255319
0.07,66825.3043010753
0.08,73971.697826087
0.09,79104.7658241758
0.1,83892.1144444444
0.11,88393.2713483146
0.12,90628.5481818182
0.13,92493.9001149425
0.14,93865.1395348837
0.15,94339.2529411765
0.16,94848.0119047619
0.17,94135.1972289157
0.18,93193.267804878
0.19,92993.9107407407
0.2,91096.56
0.21,90221.2035443038
0.22,89106.1358974359
0.23,86432.8341558442
0.24,85041.2210526316
0.25,82480.7286666667
0.26,81133.8262162162
0.27,78471.8245205479
0.28,75077.3866666667
0.29,73429.7714084507
0.3,71551.4928571428
0.31,68317.3084057971
0.32,65899.0794117647
0.33,63541.5137313433
0.34,60794.9806060606
0.35,58196.5907692308
0.36,54717.515
0.37,51533.4638095238
0.38,49658.359032258
0.39,46405.2144262295
0.4,43294.2233333333
0.41,40597.9171186441
0.42,37899.1868965517
0.43,35538.3905263158
0.44,31854.8557142857
0.45,29341.1954545455
0.46,26270.2088888889
0.47,23353.0230188679
0.48,19761.2446153846
0.49,17432.5817647059
0.5,14459.604
0.51,11476.0957142857
0.52,7968.07499999998
0.53,5312.18234042553
0.54,2407.37521739128
0.55,-672.201111111121
0.56,-3285.17181818183
0.57,-7074.54906976744
0.58,-9079.51714285715
0.59,-11985.1065853658
0.6,-15290.38
0.61,-18789.9041025641
0.62,-21219.0631578948
0.63,-23937.8075675676
0.64,-27052.47
0.65,-30070.8828571429
0.66,-33591.5852941177
0.67,-36330.82
0.68,-39143.8075
0.69,-42190.6025806451
0.7,-44908.0133333333
0.71,-48345.1820689655
0.72,-50668.2214285714
0.73,-53781.9362962963
0.74,-57461
0.75,-60070.312
0.76,-62905.5
0.77,-66329.1169565217
0.78,-68831.3572727273
0.79,-71904.7990476191
0.8,-74487.13
0.81,-77838.38
0.82,-80649.9066666666
0.83,-84574.4152941176
0.84,-86587.515
0.85,-89848.7066666666
0.86,-93126.2985714286
0.87,-96110.4015384615
0.88,-98785.49
0.89,-100866.636363636
0.9,-104293.39
