margin,network-profit
0.01,2364
0.01,3061
0.01,3066
0.01,4349
0.01,4363
0.01,5443
0.01,5525
0.01,5803
0.01,6222
0.01,6837
0.02,2309
0.02,2895
0.02,2922
0.02,3986
0.02,4219
0.02,5470
0.02,5540
0.02,5892
0.02,6909
0.02,8975
0.03,2149
0.03,2948
0.03,3186
0.03,3279
0.03,3703
0.03,4637
0.03,4986
0.03,5367
0.03,5824
0.03,8729
0.04,2364
0.04,2429
0.04,2600
0.04,3554
0.04,4990
0.04,5538
0.04,5541
0.04,5725
0.04,6019
0.04,8277
0.05,4104
0.05,5134
0.05,5603
0.05,5668
0.05,6327
0.05,6461
0.05,7993
0.05,9036
0.05,9235
0.05,11057
0.06,8158
0.06,8272
0.06,8423
0.06,8637
0.06,8730
0.06,8951
0.06,9697
0.06,9972
0.06,10647
0.06,11143
0.07,7655
0.07,8611
0.07,9522
0.07,9797
0.07,10293
0.07,10488
0.07,10962
0.07,11081
0.07,11126
0.07,11259
0.08,7504
0.08,8393
0.08,8420
0.08,9007
0.08,9488
0.08,9771
0.08,9879
0.08,10336
0.08,10989
0.08,14704
0.09,7231
0.09,7526
0.09,7921
0.09,8882
0.09,9077
0.09,10056
0.09,10096
0.09,10345
0.09,10861
0.09,11268
0.1,7346
0.1,7897
0.1,8622
0.1,8980
0.1,10495
0.1,10802
0.1,10820
0.1,11020
0.1,11194
0.1,11611
0.11,5828
0.11,6541
0.11,6652
0.11,7710
0.11,7871
0.11,8626
0.11,8820
0.11,9276
0.11,9549
0.11,10095
0.12,4966
0.12,5169
0.12,5679
0.12,5907
0.12,6919
0.12,6966
0.12,7149
0.12,7805
0.12,9325
0.12,10130
0.13,4357
0.13,5084
0.13,5482
0.13,5492
0.13,6221
0.13,6690
0.13,6781
0.13,7196
0.13,8095
0.13,9368
0.14,1817
0.14,2676
0.14,3541
0.14,3862
0.14,3951
0.14,4025
0.14,4872
0.14,5540
0.14,6066
0.14,8806
0.15,-1318
0.15,-1315
0.15,-238
0.15,-67
0.15,871
0.15,1027
0.15,1263
0.15,3001
0.15,3006
0.15,4645
0.16,-2420
0.16,-1362
0.16,-359
0.16,-285
0.16,-209
0.16,-5
0.16,578
0.16,1964
0.16,2423
0.16,2510
0.17,-5616
0.17,-4257
0.17,-3148
0.17,-2707
0.17,-1840
0.17,-1804
0.17,-1792
0.17,-1776
0.17,-1421
0.17,1453
0.18,-6380
0.18,-6296
0.18,-6099
0.18,-5301
0.18,-4704
0.18,-3566
0.18,-2892
0.18,-2584
0.18,-2415
0.18,-2370
0.19,-9787
0.19,-8494
0.19,-8489
0.19,-7335
0.19,-6580
0.19,-6352
0.19,-6317
0.19,-5977
0.19,-4867
0.19,-3198
0.2,-17256
0.2,-10264
0.2,-9314
0.2,-9028
0.2,-8996
0.2,-8886
0.2,-8690
0.2,-7859
0.2,-7317
0.2,-7198
0.21,-16750
0.21,-16417
0.21,-14768
0.21,-12198
0.21,-12180
0.21,-11470
0.21,-11398
0.21,-11384
0.21,-10715
0.21,-9160
0.22,-16394
0.22,-16215
0.22,-16055
0.22,-15529
0.22,-15485
0.22,-15286
0.22,-15204
0.22,-14250
0.22,-12540
0.22,-9576
0.23,-21497
0.23,-20714
0.23,-19953
0.23,-18281
0.23,-17681
0.23,-17581
0.23,-17374
0.23,-15992
0.23,-14884
0.23,-14555
0.24,-22401
0.24,-22108
0.24,-21250
0.24,-21093
0.24,-20998
0.24,-20549
0.24,-19208
0.24,-18918
0.24,-18686
0.24,-18424
0.25,-29204
0.25,-25491
0.25,-24910
0.25,-24519
0.25,-24343
0.25,-23509
0.25,-22913
0.25,-22606
0.25,-22363
0.25,-20636
0.26,-30667
0.26,-30279
0.26,-28845
0.26,-28208
0.26,-28111
0.26,-28104
0.26,-27181
0.26,-25512
0.26,-25273
0.26,-25156
0.27,-33022
0.27,-32939
0.27,-31869
0.27,-31324
0.27,-30009
0.27,-29843
0.27,-29159
0.27,-29128
0.27,-28664
0.27,-26571
0.28,-34198
0.28,-33612
0.28,-32928
0.28,-32625
0.28,-32190
0.28,-32175
0.28,-31976
0.28,-30455
0.28,-30052
0.28,-29714
0.29,-37749
0.29,-37151
0.29,-37050
0.29,-36989
0.29,-36400
0.29,-36345
0.29,-34344
0.29,-33959
0.29,-31880
0.29,-31561
0.3,-41584
0.3,-40855
0.3,-40657
0.3,-38972
0.3,-38343
0.3,-37983
0.3,-36839
0.3,-36712
0.3,-35361
0.3,-33903
0.31,-45288
0.31,-44521
0.31,-42871
0.31,-42103
0.31,-41012
0.31,-39792
0.31,-38921
0.31,-38783
0.31,-37091
0.31,-36284
0.32,-46141
0.32,-45715
0.32,-44040
0.32,-43781
0.32,-42731
0.32,-42421
0.32,-42103
0.32,-41626
0.32,-40778
0.32,-38646
0.33,-52487
0.33,-51485
0.33,-50957
0.33,-49305
0.33,-48801
0.33,-48415
0.33,-47867
0.33,-47566
0.33,-46651
0.33,-43129
0.34,-52887
0.34,-52864
0.34,-52018
0.34,-51835
0.34,-51719
0.34,-50639
0.34,-50534
0.34,-50508
0.34,-48383
0.34,-47699
0.35,-56530
0.35,-56324
0.35,-55802
0.35,-55334
0.35,-55068
0.35,-54613
0.35,-54190
0.35,-52031
0.35,-51458
0.35,-49248
0.36,-62118
0.36,-60150
0.36,-59761
0.36,-59312
0.36,-58387
0.36,-57820
0.36,-57367
0.36,-55503
0.36,-55398
0.36,-52783
0.37,-65336
0.37,-63164
0.37,-63128
0.37,-61984
0.37,-61045
0.37,-60699
0.37,-59533
0.37,-58864
0.37,-58636
0.37,-58609
0.38,-68172
0.38,-65755
0.38,-64243
0.38,-63325
0.38,-61668
0.38,-60532
0.38,-60462
0.38,-60406
0.38,-60321
0.38,-59917
0.39,-69396
0.39,-68805
0.39,-68605
0.39,-67833
0.39,-67218
0.39,-67161
0.39,-67127
0.39,-66679
0.39,-62462
0.39,-59830
0.4,-71516
0.4,-70113
0.4,-69216
0.4,-69132
0.4,-67782
0.4,-67454
0.4,-67013
0.4,-66257
0.4,-63887
0.4,-61618
0.41,-76312
0.41,-74424
0.41,-73662
0.41,-73607
0.41,-73565
0.41,-72035
0.41,-70711
0.41,-69998
0.41,-69349
0.41,-67866
0.42,-82128
0.42,-79239
0.42,-79100
0.42,-78868
0.42,-78683
0.42,-76956
0.42,-76416
0.42,-74939
0.42,-73552
0.42,-73509
0.43,-82031
0.43,-79630
0.43,-79094
0.43,-78360
0.43,-77854
0.43,-77123
0.43,-75968
0.43,-75484
0.43,-74676
0.43,-74217
0.44,-84178
0.44,-83064
0.44,-82682
0.44,-81898
0.44,-80242
0.44,-79823
0.44,-79416
0.44,-79037
0.44,-78280
0.44,-75638
0.45,-88723
0.45,-87411
0.45,-86858
0.45,-85316
0.45,-84574
0.45,-83175
0.45,-82942
0.45,-81122
0.45,-79458
0.45,-78258
0.46,-94034
0.46,-93604
0.46,-92647
0.46,-91608
0.46,-89359
0.46,-89036
0.46,-87946
0.46,-87591
0.46,-87183
0.46,-84359
0.47,-94459
0.47,-92498
0.47,-91481
0.47,-91262
0.47,-91206
0.47,-89749
0.47,-88802
0.47,-88790
0.47,-88057
0.47,-83904
0.48,-99641
0.48,-96081
0.48,-95122
0.48,-94441
0.48,-92240
0.48,-91840
0.48,-90073
0.48,-89809
0.48,-89583
0.48,-88660
0.49,-102522
0.49,-98399
0.49,-96600
0.49,-96166
0.49,-95570
0.49,-94034
0.49,-93828
0.49,-93518
0.49,-92683
0.49,-92547
0.5,-104979
0.5,-102876
0.5,-101969
0.5,-101820
0.5,-100877
0.5,-98765
0.5,-98488
0.5,-97765
0.5,-96874
0.5,-96210
