netmember-avg-be-point,all-persons-avg-be-point
572.231707317073,1102.24086378738
482.873493975904,998.044850498339
501.367088607595,1123.21096345515
539.073170731707,1048.8122923588
531.641891891892,1058.59136212625
569.221518987342,1020.81063122924
502.382352941176,1041.59634551495
553.12962962963,1048.60465116279
552.31976744186,1003.0780730897
540.029761904762,1042.10631229236
542.166666666667,1070.39700996678
481.164705882353,1029.08139534884
491.668674698795,1033.12956810631
577.942528735632,1101.21926910299
536.475308641975,1033.05813953488
509.2375,1021.76910299003
515.660256410256,1072.50996677741
564.512345679012,993.493355481728
521.255813953488,1104.8438538206
568.788461538462,1124.67109634552
519.744318181818,1076.76411960133
522.329545454545,1018.73089700997
523.648148148148,1006.91528239203
543.925,1016.6196013289
449.240506329114,1015.78571428571
551.240963855422,1104.72425249169
614.967105263158,1085.18604651163
533.21875,1050.21428571429
596.318181818182,1059.073089701
568.429487179487,1060.13621262458
563.843373493976,1075.05481727575
509.03164556962,1057.86046511628
485.089285714286,1044.90697674419
494.482352941176,1046.67940199336
550.77380952381,1067.92857142857
529.403614457831,1059.54983388704
500.759036144578,1030.72093023256
526.12962962963,1055.18936877076
567.128205128205,1044.81063122924
537.233766233766,1042.91196013289
551.827586206897,1037.8023255814
555.038461538462,1000.24418604651
535.225609756098,1183.74252491694
561.525316455696,1052.6877076412
459.790697674419,1013.92857142857
548,1041.04651162791
538.08125,1020.92524916944
477.7125,1063.69933554817
527.670731707317,1045.31561461794
493.934523809524,1039.69102990033
552.835227272727,1017.16943521595
535.658227848101,1120.02657807309
561.289156626506,1045.42358803987
454,1116.57973421927
476.518518518519,955.533222591362
529.95,1048.50996677741
534.145569620253,1053.89867109635
594.089743589744,1095.06312292359
630.116883116883,1139.73255813953
531.132530120482,1014.88205980066
547.857142857143,1048.40863787375
534.225609756098,1100.76910299003
532.14880952381,1084.49667774086
437.829268292683,1049.50996677741
540.879746835443,1060.48172757475
546.091954022988,1133.04651162791
574.535714285714,1039.92358803987
594.943037974684,1078.81893687708
514.617283950617,1010.04318936877
497.134615384615,945.501661129568
574.62,1054.23089700997
528.525974025974,1077.926910299
539.369047619048,1013.75249169435
606.3625,1174.50830564784
552.642857142857,1088.27740863787
566.130952380952,1115.45681063123
507.581395348837,1058.90863787375
514.505747126437,1000.81063122924
589.859756097561,1138.9950166113
498.092391304348,988.503322259136
570.87037037037,1061.0365448505
572.591463414634,1016.20598006645
485.41975308642,982.461794019934
521.569620253165,1003.16445182724
497.126582278481,966.647840531561
545.405882352941,1089.25415282392
524.952380952381,1035.01661129568
531.453488372093,1013.87209302326
504.207317073171,1015.12126245847
543.579268292683,1101.91196013289
522.75641025641,1055.89368770764
510.568965517241,1001.80564784053
566.741176470588,1098.04651162791
538.325301204819,1038.29401993355
525.944444444444,1053.65448504983
484.271604938272,1058.64119601329
523.049382716049,1034.10465116279
529.710843373494,1035.52159468439
564.048780487805,1057.51162790698
496.053333333333,1004.17109634551
